yyyyddd,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet,date,year,month,day
2006022,13575997.45,1069710.81,966006.16,1087102.72,897773.37,914018.57,366647.59,576231,1068218.88,852715.31,1260779,3176716.16,783665.16,44123.23,486750.93,7804.11,8941.25,2006-01-22T00:00:00Z,2006,1,22
2006023,13643554.58,1069710.81,966006.16,1087102.72,897773.37,915282.18,371538.48,568271.59,1076608.45,852715.31,1260779,3176716.16,790729.13,44138.2,489342.65,13093.58,8941.25,2006-01-23T00:00:00Z,2006,1,23
2006024,13473190.23,1069710.81,966006.16,1087102.72,897773.37,897489.52,310538.84,516604.96,1087283.24,852715.31,1260779,3109874.09,817517.16,53849.51,470476.54,11722.22,8941.25,2006-01-24T00:00:00Z,2006,1,24
2006025,13473190.23,1069710.81,966006.16,1087102.72,897773.37,897489.52,310538.84,516604.96,1087283.24,852715.31,1260779,3109874.09,817517.16,53849.51,470476.54,11722.22,8941.25,2006-01-25T00:00:00Z,2006,1,25
2006026,13471592.91,1069710.81,966006.16,1087102.72,897773.37,897489.52,310538.84,514607.17,1087683.71,852715.31,1260779,3109874.09,817517.16,53849.51,470476.54,11722.22,8941.25,2006-01-26T00:00:00Z,2006,1,26
2006027,13601277.31,1069710.81,966006.16,1087102.72,897773.37,897489.52,310538.84,514607.17,1087683.71,852715.31,1260779,3109874.09,902787.94,53849.51,514890.15,11722.22,8941.25,2006-01-27T00:00:00Z,2006,1,27
2006028,13764859.5,1069710.81,966006.16,1087102.72,897773.37,913503.91,321048.81,531055.04,1177915.69,852715.31,1260779,3137037.81,902787.94,54655.36,514890.15,11722.22,8941.25,2006-01-28T00:00:00Z,2006,1,28
2006029,13766950.31,1069710.81,966006.16,1087102.72,897773.37,913503.91,321048.81,531055.04,1178077.49,852715.31,1260779,3137037.81,902787.94,56584.37,514890.15,11722.22,8941.25,2006-01-29T00:00:00Z,2006,1,29
2006030,13799695.17,1069710.81,966006.16,1087102.72,897773.37,914180.23,337149.48,558938.58,1159250.94,852715.31,1260779,3156689.93,869880.93,56584.37,535055.94,11722.22,8941.25,2006-01-30T00:00:00Z,2006,1,30
2006031,13905098.26,1069710.81,966006.16,1087102.72,897773.37,914180.23,390331.85,556940.31,1160467.93,852715.31,1260779,3169296.68,885386.36,56584.37,556086.91,15581.08,8941.25,2006-01-31T00:00:00Z,2006,1,31
2006032,13906557.62,1069710.81,966006.16,1087102.72,897773.37,914180.23,390331.85,556940.31,1160467.93,852715.31,1260779,3169296.68,885386.36,56584.37,556086.91,17040.43,8941.25,2006-02-01T00:00:00Z,2006,2,1
2006033,13978947.47,1069710.81,966006.16,1087102.72,897773.37,914180.23,410076.36,568484.89,1188746.85,852715.31,1260779,3169296.68,892755.18,56584.37,561539.93,17040.43,8941.25,2006-02-02T00:00:00Z,2006,2,2
2006034,14001933.55,1069710.81,966006.16,1087102.72,897773.37,914180.23,410076.36,567440.42,1209521.43,852715.31,1260779,3169296.68,908632.74,54447.34,550713.49,17040.43,9283.15,2006-02-03T00:00:00Z,2006,2,3
2006035,14209969.82,1069710.81,966006.16,1087102.72,897773.37,932778.93,503044.99,600842.21,1211934.25,852715.31,1260779,3178718.06,908632.74,54447.34,601946.41,17040.43,9283.15,2006-02-04T00:00:00Z,2006,2,4
2006036,14209969.82,1069710.81,966006.16,1087102.72,897773.37,932778.93,503044.99,600842.21,1211934.25,852715.31,1260779,3178718.06,908632.74,54447.34,601946.41,17040.43,9283.15,2006-02-05T00:00:00Z,2006,2,5
2006037,14217715.78,1069710.81,966006.16,1087102.72,897773.37,932778.93,503044.99,608555.87,1211966.55,852715.31,1260779,3178718.06,908632.74,54447.34,601946.41,17040.43,9283.15,2006-02-06T00:00:00Z,2006,2,6
2006038,14223734.97,1069710.81,966006.16,1087102.72,897773.37,932778.93,503044.99,608555.87,1180654.65,852715.31,1257433.47,3178718.06,898051,68542.76,637856.12,17040.43,9283.15,2006-02-07T00:00:00Z,2006,2,7
2006039,14293137.81,1069710.81,966006.16,1087102.72,897773.37,932924.16,507771.48,592220.99,1207808.6,852715.31,1257433.47,3178718.06,887282.66,68542.76,696771.74,22358.37,9529.99,2006-02-08T00:00:00Z,2006,2,8
2006040,14316360.87,1069710.81,966006.16,1087102.72,897773.37,932924.16,507771.48,592220.99,1209203.23,852715.31,1257433.47,3178718.06,889465.26,68542.76,720200.84,18575.11,9529.99,2006-02-09T00:00:00Z,2006,2,9
2006041,14318694.47,1069710.81,966006.16,1087102.72,897773.37,932924.16,507771.48,592220.99,1209203.23,852715.31,1257433.47,3178718.06,889465.26,68542.76,720200.84,20908.71,9529.99,2006-02-10T00:00:00Z,2006,2,10
2006042,14318694.47,1069710.81,966006.16,1087102.72,897773.37,932924.16,507771.48,592220.99,1209203.23,852715.31,1257433.47,3178718.06,889465.26,68542.76,720200.84,20908.71,9529.99,2006-02-11T00:00:00Z,2006,2,11
2006043,14318694.47,1069710.81,966006.16,1087102.72,897773.37,932924.16,507771.48,592220.99,1209203.23,852715.31,1257433.47,3178718.06,889465.26,68542.76,720200.84,20908.71,9529.99,2006-02-12T00:00:00Z,2006,2,12
2006044,14318694.47,1069710.81,966006.16,1087102.72,897773.37,932924.16,507771.48,592220.99,1209203.23,852715.31,1257433.47,3178718.06,889465.26,68542.76,720200.84,20908.71,9529.99,2006-02-13T00:00:00Z,2006,2,13
2006045,14419406.63,1069710.81,966006.16,1087102.72,897773.37,932726.41,530800.89,579677.3,1227496.59,852715.31,1257433.47,3198987.4,889517.94,79904.44,759197.04,20908.71,9529.99,2006-02-14T00:00:00Z,2006,2,14
2006046,14390608.19,1069710.81,966006.16,1087102.72,897773.37,932034.13,530174.69,582718.19,1263771.73,852715.31,1257433.47,3205060.5,777721.12,79904.44,798248.06,20908.71,9529.99,2006-02-15T00:00:00Z,2006,2,15
2006047,14385274.98,1069710.81,966006.16,1087102.72,897773.37,917340.6,519368.67,570540.25,1285921,852715.31,1257433.47,3207097.43,719482.18,98045.82,854722.23,14007.14,9529.99,2006-02-16T00:00:00Z,2006,2,16
2006048,14343494.84,1069710.81,955467.11,1087067.75,897773.37,917340.6,511852.04,572978.88,1285921,852715.31,1257433.47,3207097.43,691068.09,102597.98,852876.86,13586.32,9529.99,2006-02-17T00:00:00Z,2006,2,17
2006049,14284763.92,1069710.81,954121.81,1086081.06,897773.37,902174.86,481240.73,572978.88,1286796.52,852715.31,1257433.47,3207097.43,687615.15,97914.82,849515.57,13586.32,9529.99,2006-02-18T00:00:00Z,2006,2,18
2006050,14251848.81,1069710.81,954121.81,1086081.06,897773.37,902174.86,488505.75,572978.88,1286796.52,852715.31,1257433.47,3207097.43,649937.74,93848.07,852620.52,13586.32,9529.99,2006-02-19T00:00:00Z,2006,2,19
2006051,14208997.11,1069710.81,954121.81,1086081.06,897773.37,901152.61,480953.04,572978.88,1285406.25,852715.31,1257076.64,3207097.43,606584.36,93848.07,867388.77,13586.32,5585.47,2006-02-20T00:00:00Z,2006,2,20
2006052,14267903.84,1069710.81,961796.2,1086701.77,897773.37,901152.61,480953.04,572978.88,1354088.5,852715.31,1257076.64,3207097.43,612240.88,99855.27,837654.42,13586.32,5585.47,2006-02-21T00:00:00Z,2006,2,21
2006053,14269497.4,1069710.81,961796.2,1086701.77,897773.37,901152.61,480953.04,572978.88,1355682.06,852715.31,1257076.64,3207097.43,612240.88,99855.27,837654.42,13586.32,5585.47,2006-02-22T00:00:00Z,2006,2,22
2006054,14364861.21,1069710.81,961796.2,1086701.77,897773.37,920573.63,488664.68,602460.51,1379219.65,852715.31,1257076.64,3214576.92,598574.61,104633.98,863608.46,5151.53,4686.25,2006-02-23T00:00:00Z,2006,2,23
2006055,14393577.95,1069710.81,961796.2,1086701.77,897773.37,920573.63,488664.68,606367.54,1383536.06,852715.31,1257076.64,3214576.92,629209.5,104633.98,853466.86,5151.53,4686.25,2006-02-24T00:00:00Z,2006,2,24
2006056,14318116.65,1069710.81,961796.2,1086701.77,897773.37,899870.8,484566.69,577356.87,1365491.1,852715.31,1257076.64,3214576.92,629209.5,101029.14,853466.86,5151.53,4686.25,2006-02-25T00:00:00Z,2006,2,25
2006057,14186303.18,1069710.81,961796.2,1086701.77,897773.37,899870.8,466621.5,575149.69,1359073.95,852715.31,1257076.64,3181408.87,529467.41,101029.14,877853.8,8430.76,4686.25,2006-02-26T00:00:00Z,2006,2,26
2006058,14148071.86,1069710.81,961796.2,1086701.77,897773.37,899870.8,466621.5,575532.34,1290424.44,852715.31,1257076.64,3181408.87,549140.79,111391.28,877853.8,8430.76,4686.25,2006-02-27T00:00:00Z,2006,2,27
2006059,14148071.86,1069710.81,961796.2,1086701.77,897773.37,899870.8,466621.5,575532.34,1290424.44,852715.31,1257076.64,3181408.87,549140.79,111391.28,877853.8,8430.76,4686.25,2006-02-28T00:00:00Z,2006,2,28
2006060,14148071.86,1069710.81,961796.2,1086701.77,897773.37,899870.8,466621.5,575532.34,1290424.44,852715.31,1257076.64,3181408.87,549140.79,111391.28,877853.8,8430.76,4686.25,2006-03-01T00:00:00Z,2006,3,1
2006061,14337126.9,1069710.81,961796.2,1086701.77,897773.37,899870.8,466621.5,575532.34,1289227.4,852715.31,1256756.24,3181408.87,739697.37,111391.28,877869.7,8430.76,4686.25,2006-03-02T00:00:00Z,2006,3,2
2006062,14492767.96,1069710.81,961796.2,1086701.77,897773.37,932303.84,581795.84,634234.89,1274617.96,852715.31,1256692.33,3245763.07,619705.24,111391.28,897512.13,8430.76,4686.25,2006-03-03T00:00:00Z,2006,3,3
2006063,14450996.68,1069710.81,961796.2,1086701.77,897773.37,932303.84,581795.84,634234.89,1274617.96,852715.31,1256692.33,3245763.07,617461.89,111391.28,864225.52,8430.76,4686.25,2006-03-04T00:00:00Z,2006,3,4
2006064,14470394.89,1069710.81,964227,1086701.77,897773.37,932303.84,613608.68,630759.18,1235740.66,852715.31,1248159.85,3245726.84,639727.85,114159.83,875267.29,8430.76,4686.25,2006-03-05T00:00:00Z,2006,3,5
2006065,14451366.55,1069710.81,964227,1086701.77,897773.37,932303.84,613608.68,630759.18,1217961.35,852715.31,1247426.75,3245726.84,639727.85,114159.83,875267.29,8430.76,4686.25,2006-03-06T00:00:00Z,2006,3,6
2006066,14430295.45,1069710.81,964227,1086701.77,897773.37,932303.84,613608.68,630759.18,1210856.1,852715.31,1246961.97,3245726.84,639727.85,114159.83,863613.56,6583.43,4686.25,2006-03-07T00:00:00Z,2006,3,7
2006067,14501336.61,1069710.81,964227,1086701.77,897773.37,932303.84,646158.11,630461.13,1207630.76,852715.31,1246961.97,3245726.84,712717.22,114159.83,832639.29,6583.43,4686.25,2006-03-08T00:00:00Z,2006,3,8
2006068,14657762.14,1069710.81,964227,1086701.77,897773.37,932303.84,667961.24,623339.9,1212631.83,852715.31,1254213.67,3245763.13,734254.91,152425.1,897972.14,4307,4686.25,2006-03-09T00:00:00Z,2006,3,9
2006069,14663037.37,1069710.81,964227,1086701.77,897773.37,932303.84,667961.24,623339.9,1217907.06,852715.31,1254213.67,3245763.13,734254.91,152425.1,897972.14,4307,4686.25,2006-03-10T00:00:00Z,2006,3,10
2006070,14658085.45,1069710.81,964227,1086701.77,897773.37,928120.8,655740.54,623339.9,1217373.74,852715.31,1254213.67,3245763.13,757600.85,152425.1,897972.14,4307,4686.25,2006-03-11T00:00:00Z,2006,3,11
2006071,14619463.3,1069710.81,964227,1086701.77,897773.37,928120.8,655740.54,623339.9,1190950.21,852715.31,1254213.67,3245763.13,748822.47,152425.1,894551.9,4307,4686.25,2006-03-12T00:00:00Z,2006,3,12
2006072,14558798.23,1069710.81,964227,1086701.77,897773.37,928120.8,655740.54,611947.38,1165781.19,852715.31,1248437.22,3245763.13,735627.17,157470.23,884374.99,4307,4686.25,2006-03-13T00:00:00Z,2006,3,13
2006073,14552593.44,1069710.81,964227,1086701.77,897773.37,928120.8,655740.54,611947.38,1160752.05,852715.31,1247261.57,3245763.13,735627.17,157470.23,884374.99,4307,4686.25,2006-03-14T00:00:00Z,2006,3,14
2006074,14464224.71,1069710.81,964227,1086701.77,897773.37,927229.59,642564.71,606701.88,1169980.75,852715.31,1247261.57,3245763.13,665053.64,156088.02,878045.84,4307,4686.25,2006-03-15T00:00:00Z,2006,3,15
2006075,14420678.51,1069710.81,964227,1086701.77,897773.37,921427.98,646195.64,613160.62,1134816.62,852715.31,1251360.16,3244243.1,635251.59,175063.32,874372.41,1067.3,7177.43,2006-03-16T00:00:00Z,2006,3,16
2006076,14390903.07,1069710.81,964227,1086701.77,897773.37,930476.51,619434.51,617177.1,1135409.37,852715.31,1254086.32,3245403.23,645633.84,172539.73,845955.39,1067.3,7177.43,2006-03-17T00:00:00Z,2006,3,17
2006077,14396487.57,1069710.81,964227,1086701.77,897773.37,933638.26,628442.41,613019.77,1138382.16,852715.31,1247856.7,3243519.89,641232.96,172539.73,853209.66,1067.3,7100.63,2006-03-18T00:00:00Z,2006,3,18
2006078,14400460.74,1069710.81,962458.97,1084626.95,897773.37,933334.4,646400.97,631245.36,1130765.27,852715.31,1245268.37,3246689.75,626108.6,170567.37,849277.47,1067.3,7100.63,2006-03-19T00:00:00Z,2006,3,19
2006079,14362340.06,1069710.81,962458.97,1084626.95,897773.37,933928.52,690942.24,627580.17,1098464.46,852715.31,1238748.74,3246725.99,629964.92,166342.12,814319.24,1067.3,7100.63,2006-03-20T00:00:00Z,2006,3,20
2006080,14340618.25,1068294.94,962458.97,1084626.95,897773.37,933928.52,707363.43,635643.48,1099497.09,852715.31,1238627.1,3246725.99,603351.49,153837.1,819325.81,1067.3,7100.63,2006-03-21T00:00:00Z,2006,3,21
2006081,14375551.74,1068682.81,962458.97,1084626.95,897773.37,930001.71,724470.84,652405.13,1086471.3,852011.76,1234271.08,3246907.93,641715.72,138748.51,818556.97,1067.3,7100.63,2006-03-22T00:00:00Z,2006,3,22
2006082,14170962.9,1068682.81,962458.97,1084626.95,897773.37,930001.71,741405.89,652405.13,995519.81,852011.76,1203775.74,3246907.93,680083.34,138748.51,683253.47,1067.3,7100.63,2006-03-23T00:00:00Z,2006,3,23
2006083,14093756.68,1068682.81,962458.97,1084626.95,897773.37,897119.28,699606.82,643277.89,1019993.81,852011.76,1203804.41,3246907.93,686064.8,138748.51,664937.57,1067.3,7100.63,2006-03-24T00:00:00Z,2006,3,24
2006084,14101094.41,1068682.81,962458.97,1084626.95,897773.37,897119.28,699606.82,643277.89,1049169.14,852011.76,1199725.09,3246907.93,686064.8,129347.6,664937.57,1067.3,7100.63,2006-03-25T00:00:00Z,2006,3,25
2006085,14096421.19,1068682.81,962458.97,1084626.95,897773.37,897119.28,699606.82,643277.89,1057983.76,852011.76,1199725.09,3246907.93,706496.65,129347.6,635800.23,1067.3,7100.63,2006-03-26T00:00:00Z,2006,3,26
2006086,13905727.16,1068682.81,959091.49,1084626.95,897773.37,893859.03,623289.78,610878.6,1043948.24,852011.76,1198792.06,3237721.49,691448.93,129347.6,601184.77,1067.3,5462.07,2006-03-27T00:00:00Z,2006,3,27
2006087,13879569.42,1068682.81,959091.49,1084626.95,897773.37,893783.85,609437.67,595779.32,1037563.2,852011.76,1235239.74,3238483.31,688768.17,129347.6,575856.61,1067.3,5462.07,2006-03-28T00:00:00Z,2006,3,28
2006088,13897099.65,1068682.81,959091.49,1084626.95,897773.37,926722.82,632600.09,600959.02,1020708.49,851691.13,1239838.27,3241074.05,653730.62,129347.6,578502.11,1067.3,5462.07,2006-03-29T00:00:00Z,2006,3,29
2006089,13887329.3,1068682.81,959091.49,1084626.95,897773.37,922163.56,623912.23,604935.45,1019657.9,851691.13,1240389.21,3241074.05,653730.62,129347.6,578502.11,1067.3,5462.07,2006-03-30T00:00:00Z,2006,3,30
2006090,13913402.38,1068682.81,959091.49,1084626.95,897773.37,922163.56,623912.23,604935.45,1026933.53,851691.13,1240389.21,3241074.05,662863.32,129347.6,588166.86,1067.3,5462.07,2006-03-31T00:00:00Z,2006,3,31
2006091,13821470.47,1068682.81,959091.49,1084120.22,896509.72,910486.8,622587.52,601309.63,1003874.51,851691.13,1240389.21,3239348.54,658979.45,114621.86,558026.77,1067.3,5462.07,2006-04-01T00:00:00Z,2006,4,1
2006092,13773963.11,1068682.81,959860.75,1082845.71,896509.72,910486.8,640206.29,588763.27,1000989.26,851691.13,1240389.21,3236059.05,626959.33,114621.86,544147.11,1067.3,5462.07,2006-04-02T00:00:00Z,2006,4,2
2006093,13871914.6,1068682.81,959860.75,1082845.71,896509.72,912528.54,665533.07,618935.79,1010418.28,851691.13,1240081.24,3233071.46,654608.84,113396.49,551999.95,1067.3,5462.07,2006-04-03T00:00:00Z,2006,4,3
2006094,13919667.22,1068682.81,959860.75,1082845.71,896509.72,918276.2,655861.32,625976.09,1032646.03,851922.67,1252045.96,3232507.79,669979.4,113396.49,548615.08,0,5462.07,2006-04-04T00:00:00Z,2006,4,4
2006095,13927356.78,1068682.81,959860.75,1082845.71,896509.72,923063.18,617384.36,638378.84,1058725.92,851512.96,1252815.48,3228560.33,666314.68,113396.49,558888.7,0,5462.07,2006-04-05T00:00:00Z,2006,4,5
2006096,13886668.46,1068682.81,959860.75,1082845.71,896527.66,922362.88,602340.19,643372.53,1056861.31,851512.96,1253441.44,3219079.47,659097.9,113948.95,546317.05,0,5462.07,2006-04-06T00:00:00Z,2006,4,6
2006097,13890838.61,1068682.81,959860.75,1082845.71,896527.66,922362.88,602340.19,643372.53,1052506.78,851512.96,1253441.44,3219079.47,659097.9,113948.95,554841.73,0,5462.07,2006-04-07T00:00:00Z,2006,4,7
2006098,13893350.83,1068682.81,959860.75,1082845.71,896527.66,922362.88,602340.19,643372.53,1065544.83,851512.96,1253441.44,3219079.47,659097.9,113948.95,544315.9,0,5462.07,2006-04-08T00:00:00Z,2006,4,8
2006099,13893350.83,1068682.81,959860.75,1082845.71,896527.66,922362.88,602340.19,643372.53,1065544.83,851512.96,1253441.44,3219079.47,659097.9,113948.95,544315.9,0,5462.07,2006-04-09T00:00:00Z,2006,4,9
2006100,13899916.38,1068682.81,959860.75,1082845.71,896527.66,922362.88,602340.19,643372.53,1072110.38,851512.96,1253441.44,3219079.47,659097.9,113948.95,544315.9,0,5462.07,2006-04-10T00:00:00Z,2006,4,10
2006101,13904429.76,1068682.81,959860.75,1082845.71,896527.66,922362.88,602340.19,643372.53,1076623.76,851512.96,1253441.44,3219079.47,659097.9,113948.95,544315.9,0,5462.07,2006-04-11T00:00:00Z,2006,4,11
2006102,13750470.85,1068682.81,959282.72,1083590.78,896527.66,922362.88,579980.67,629756.48,1033312.04,851287.51,1248717.16,3209009.96,647112.08,88810.09,521621.17,0,5462.07,2006-04-12T00:00:00Z,2006,4,12
2006103,13540317.62,1068682.81,959282.72,1083590.78,896527.66,901819.68,488888.18,619693.09,1019679.76,851056.42,1230920.66,3186064.62,646418.15,86225.31,491050.94,0,5462.07,2006-04-13T00:00:00Z,2006,4,13
2006104,13582590.94,1068682.81,959198.45,1083590.78,896527.66,902157.2,486201.35,612731.75,1031521.61,851056.42,1231600.7,3181263.75,667234.58,86225.31,514181.73,0,5462.07,2006-04-14T00:00:00Z,2006,4,14
2006105,13589226.38,1068682.81,965591.43,1083590.78,896527.66,912378.62,495111.55,599062.04,1042265.52,851056.42,1235950.64,3168930.07,667950.75,84568.26,507142.97,0,5462.07,2006-04-15T00:00:00Z,2006,4,15
2006106,13634473.65,1068682.81,965591.43,1083590.78,896455.12,914894.42,489411.44,596904.93,1065507.08,851329.99,1244241.5,3163896.96,683830.03,79024.24,522780.96,0,3377.18,2006-04-16T00:00:00Z,2006,4,16
2006107,13652724.36,1068682.81,965591.43,1083590.78,896455.12,913579.51,492155.07,611456.62,1077574.73,851329.99,1238562.76,3162679.34,676950.66,79024.24,526759.34,0,3377.18,2006-04-17T00:00:00Z,2006,4,17
2006108,13600265.38,1068682.81,965591.43,1083590.78,896455.12,913579.51,486427.46,611456.62,1069106.03,851329.99,1238562.76,3162679.34,646820.74,79024.24,518626.58,0,3377.18,2006-04-18T00:00:00Z,2006,4,18
2006109,13570689.29,1068682.81,965591.43,1083590.78,896455.12,916169.57,470473.02,595148.22,1078038.01,851329.99,1238151.54,3159646.48,653211.12,79024.24,509411.07,0,811.1,2006-04-19T00:00:00Z,2006,4,19
2006110,13569634.95,1068682.81,965591.43,1083590.78,896455.12,916169.57,470473.02,595148.22,1076983.67,851329.99,1238151.54,3159646.48,653211.12,79024.24,509411.07,0,811.1,2006-04-20T00:00:00Z,2006,4,20
2006111,13515043.63,1068682.81,965301.59,1083590.78,896455.12,907866.63,466124.3,590630.09,1061266.27,850070.9,1231314.25,3158826.84,647125.71,79024.24,502998.24,0,811.1,2006-04-21T00:00:00Z,2006,4,21
2006112,13490483.24,1068682.81,965301.59,1083590.78,896455.12,914272.08,473732.31,574709.95,1050277.23,850408.08,1212802.29,3164466.03,653962.09,71035.76,505021.24,0,811.1,2006-04-22T00:00:00Z,2006,4,22
2006113,13480808.64,1068682.81,965301.59,1083590.78,896455.12,918085.13,502749.9,554742.16,1041648.24,849927.85,1198040.55,3166226.19,685729.38,70009.71,473853.36,0,811.1,2006-04-23T00:00:00Z,2006,4,23
2006114,13480808.64,1068682.81,965301.59,1083590.78,896455.12,918085.13,502749.9,554742.16,1041648.24,849927.85,1198040.55,3166226.19,685729.38,70009.71,473853.36,0,811.1,2006-04-24T00:00:00Z,2006,4,24
2006115,13453298.18,1068682.81,965301.59,1083590.78,896455.12,918197.62,488864.89,541543.54,1046265.26,849927.85,1198040.55,3166226.19,687592.79,64846.07,472969.16,0,811.1,2006-04-25T00:00:00Z,2006,4,25
2006116,13358967.77,1067834.26,965301.59,1083590.78,896455.12,915497.69,468849.86,538955.16,1047179.31,844120.02,1186877.26,3155551.3,668847.77,42218.64,472969.16,0,811.1,2006-04-26T00:00:00Z,2006,4,26
2006117,13322129.51,1067608.99,965301.59,1083590.78,896455.12,915607.12,457718.38,528873.13,1042729.94,843395.32,1191120.26,3153392.31,661165.6,41652.29,468798.84,0,811.1,2006-04-27T00:00:00Z,2006,4,27
2006118,13315000.18,1067608.99,965301.59,1083590.78,896455.12,915607.12,450589.05,528873.13,1042729.94,843395.32,1191120.26,3153392.31,661165.6,41652.29,468798.84,0,811.1,2006-04-28T00:00:00Z,2006,4,28
